person_id,gender,education,income
P120,1,14,29.9
P121,0,8,38.7
P122,0,8.3,43.8
P123,1,11.9,21.8
P124,1,16.5,35.5
P125,0,6.9,33.5
P126,0,7.4,45.7
P127,0,9.4,45.5
P128,0,7.2,38
P129,0,7.8,47.2
P130,0,11.1,47
P131,0,6.7,37.3
P132,1,13.5,32.7
P133,0,11,43.8
P134,0,7.3,39.9
P135,1,12.9,35.5
P136,0,8.5,43
P137,0,9.2,51.5
P138,1,12.7,27.4
P139,1,13.7,30.9
P140,0,7.8,47.3
P141,1,12.1,23.2
P142,0,8,34
P143,1,17.4,43
P144,1,15.8,34.6
P145,1,12.5,25.1
P146,0,8.7,37.8
P147,0,7.5,44
P148,1,13.7,29
P149,1,15.7,36.2
P150,0,9.2,39.5
P151,0,9.9,47
P152,0,8.9,39.5
P153,1,12.4,32
P154,1,13,28.3
P155,1,11.6,37.5
P156,1,15.2,37.4
P157,0,10.7,37.1
P158,1,10.8,33.5
P159,1,14.2,33
P160,0,9,44.1
P161,0,7.6,47.1
P162,1,12.3,31.6
P163,1,12,41.8
P164,0,10.6,43.6
P165,0,7.6,42
P166,0,10.4,48.2
P167,0,6.7,42.4
P168,0,10.6,50.4
P169,0,9.1,45.9
P170,0,8.1,35
P171,1,16.3,35.5
P172,1,13.3,32
P173,0,7.3,37.1
P174,1,14,34.6
P175,0,7.8,36.6
P176,1,13.7,36.9
P177,1,13.6,33.2
P178,1,12.3,32.3
P179,1,15.9,35.7
P180,1,12.3,26.2
P181,0,6.5,45.3
P182,0,6.3,33.3
P183,1,17.3,35.6
P184,1,15.1,31.8
P185,0,9.2,52.5
P186,0,4.1,32.7
P187,1,13.2,37
P188,0,10.3,40.5
P189,0,10.8,44.5
P190,0,4,32.2
P191,0,3.3,34.9
P192,0,5.3,34.1
P193,0,5.3,39.1
P194,1,15.5,36.6
P195,0,8.9,43.7
P196,0,11.6,58.8
P197,0,8.4,38.4
P198,1,13.3,36.5
P199,1,17.2,44.9
P200,0,9.6,52.5
P201,1,15.4,37.4
P202,1,16.1,38.5
P203,0,7.6,41
P204,1,14.7,38
P205,0,10.2,48.5
P206,1,10.1,23.8
P207,0,8,45.4
P208,1,12.3,32.6
P209,1,12.2,32.9
P210,1,12.4,43.9
P211,1,14.7,35.8
P212,0,8,38.4
P213,0,5.8,38.7
P214,0,9.2,42.1
P215,1,15,31.1
P216,1,14.9,32.9
P217,0,8.7,43
P218,0,10.4,50.7
P219,0,6.7,40.2
P220,0,6.8,34.5
P221,0,9.5,43.2
P222,1,15.2,27.8
P223,0,10.2,44.4
P224,1,14,26.4
P225,0,9.2,36.4
P226,1,16.2,42.2
P227,1,12.6,29.3
P228,0,11.5,48
P229,0,6.5,40.6
P230,0,4.7,32.1
P231,0,7.8,39.5
P232,0,8.4,38.9
P233,0,6.6,36.4
P234,0,6,31.8
P235,1,12.7,34.3
P236,1,16.2,40.5
P237,1,9.8,20.7
P238,0,3.8,41.5
P239,0,5.4,34.6
P240,1,16.1,35.7
P241,1,15.8,29.1
P242,1,12.3,29.8
P243,1,14.1,28.6
P244,1,15.2,37.2
P245,1,15,36
P246,1,15.1,39.5
P247,1,14.4,30.4
P248,0,8.7,34.1
P249,0,5.1,37.2
P250,0,12.2,51.6
