region_id,funds,governance,growth
R171,7.79,-0.75,0.46
R172,3.28,-1.96,-1.2
R173,6.63,-2.08,-2.77
R174,1.95,-0.38,0.76
R175,4.09,1.4,5.46
R176,0.71,-0.01,2.02
R177,3.53,1.93,7.34
R178,0.56,-1.16,0.72
R179,2.02,-0.21,3.1
R180,1.32,0.04,1.85
R181,1.75,0.02,1.45
R182,3.85,0.98,7.77
R183,1.39,0.5,0.86
R184,4.56,-0.05,3.59
R185,0.34,0.65,-0.56
R186,1.56,0.66,3.3
R187,3.02,0.69,2.11
R188,4.89,-1.1,1.49
R189,2.56,-0,1.46
R190,2.99,0.76,4.32
R191,1.12,0.69,2.46
R192,0.4,-0.62,2.89
R193,1.57,-0.75,0.11
R194,7.07,-1.28,-0.41
R195,0.77,-0.72,0.62
R196,3.24,-0.81,0.81
R197,9.1,-1.31,-0.61
R198,1.7,-0.89,-0.5
R199,4.15,2.65,11.08
R200,0.85,0.32,3.1
