country_id,region,gov_effectiveness,fdi_pct_gdp
C154,SSA,0.5,1.045
C155,MENA,0.577,4.2
C156,SSA,1.143,8.354
C157,SSA,-0.707,-0.012
C158,EAP,-0.619,-2.413
C159,ECA,-0.008,4.597
C160,LAC,0.339,2.421
C161,LAC,1.405,4.928
C162,NAM,-0.865,3.305
C163,EAP,-0.874,6.651
C164,EAP,0.774,4.938
C165,ECA,-0.402,4.724
C166,EAP,-0.215,-2.563
C167,SSA,0.605,4.697
C168,ECA,-0.615,-2.438
C169,SSA,-0.724,-2.577
C170,SSA,-0.257,6.181
C171,ECA,-0.392,4.122
C172,ECA,-0.687,3.198
C173,LAC,0.876,3.703
C174,ECA,-0.481,-1.015
C175,SAS,0.068,4.418
C176,ECA,0.137,0.664
C177,EAP,-1.859,5.346
C178,SSA,0.346,4.123
C179,ECA,1.502,7.144
C180,ECA,-0.014,-0.777
